#SampleID	BeeSpecies
PoJ1	O.rufa
PoJ3	O.rufa
PoJ4	O.rufa
PoJ5	O.rufa
PoJ6	O.rufa
PoJ8	O.rufa
PoJ9	O.rufa
PoJ10	O.rufa
PoJ12	O.rufa
PoJ13	O.rufa
PoJ15	O.rufa
PoJ22	O.rufa
PoJ24	O.rufa
PoJ25	O.rufa
PoJ26	O.rufa
PoJ27	O.rufa
PoJ28	O.rufa
PoJ29	O.rufa
PoJ30	O.rufa
PoJ31	O.rufa
PoJ32	O.rufa
PoJ33	O.rufa
PoJ34	O.rufa
PoJ36	O.rufa
PoJ37	O.rufa
PoJ38	O.rufa
PoJ39	O.rufa
PoJ40	O.rufa
PoJ41	O.rufa
PoJ42	O.rufa
PoJ43	O.rufa
PoJ44	O.rufa
PoJ45	O.rufa
PoJ46	O.rufa
PoJ47	O.rufa
PoJ48	O.rufa
PoJ49	O.rufa
PoJ50	O.rufa
PoJ51	O.rufa
PoJ52	O.rufa
PoJ53	O.rufa
PoJ54	O.rufa
PoJ55	O.rufa
PoJ56	O.rufa
PoJ57	O.rufa
PoJ58	O.rufa
PoJ59	O.rufa
PoJ60	O.rufa
PoJ61	O.rufa
PoJ62	O.rufa
PoJ63	O.rufa
PoJ64	O.rufa
PoJ65	O.rufa
PoJ66	O.rufa
PoJ67	O.rufa
PoJ68	O.rufa
PoJ69	O.rufa
PoJ70	O.rufa
PoJ71	O.rufa
PoJ72	O.rufa
PoJ73	H.truncorum
PoJ74	H.truncorum
PoJ75	H.truncorum
PoJ79	O.rufa
PoJ80	H.truncorum
PoJ81	H.truncorum
PoJ82	H.truncorum
PoJ83	O.rufa
PoJ84	O.rufa
PoJ85	O.rufa
PoJ86	O.rufa
PoJ87	O.rufa
PoJ88	O.rufa
PoJ89	O.rufa
PoJ90	O.rufa
PoJ91	O.rufa
PoJ92	O.rufa
PoJ93	O.rufa
PoJ94	O.rufa
PoJ95	O.rufa
PoJ96	O.rufa
PoJ97	O.rufa
PoJ98	O.rufa
PoJ99	O.rufa
PoJ100	O.rufa
PoJ101	O.rufa
PoJ102	O.rufa
PoJ103	O.rufa
PoJ104	O.rufa
PoJ105	O.rufa
PoJ106	O.rufa
PoJ107	O.rufa
PoJ108	O.rufa
PoJ109	H.truncorum
PoJ110	H.truncorum
PoJ111	H.truncorum
PoJ112	H.truncorum
PoJ113	H.truncorum
PoJ114	H.truncorum
PoJ115	H.truncorum
PoJ116	H.truncorum
PoJ117	H.truncorum
PoJ118	H.truncorum
PoJ119	H.truncorum
PoJ120	H.truncorum
PoJ121	H.truncorum
PoJ122	H.truncorum
PoJ123	H.truncorum
PoJ124	H.truncorum
PoJ125	H.truncorum
PoJ126	H.truncorum
PoJ127	H.truncorum
PoJ128	H.truncorum
PoJ129	H.truncorum
PoJ130	H.truncorum
PoJ131	H.truncorum
PoJ132	H.truncorum
PoJ133	H.truncorum
PoJ134	H.truncorum
PoJ135	H.truncorum
PoJ138	H.truncorum
PoJ139	H.truncorum
PoJ140	H.truncorum
PoJ141	H.truncorum
PoJ142	H.truncorum
PoJ143	H.truncorum
PoJ144	H.truncorum
PoJ145	H.truncorum
PoJ146	H.truncorum
PoJ147	H.truncorum
PoJ148	O.rufa
PoJ149	O.rufa
PoJ150	H.truncorum
PoJ152	H.truncorum
PoJ153	H.truncorum
PoJ154	O.rufa
PoJ155	O.rufa
PoJ156	H.truncorum
PoJ157	H.truncorum
PoJ158	H.truncorum
PoJ159	H.truncorum
PoJ160	O.rufa
PoJ161	H.truncorum
PoJ162	H.truncorum
PoJ163	O.rufa
PoJ164	H.truncorum
PoJ165	H.truncorum
PoJ166	O.rufa
PoJ167	O.rufa
PoJ168	H.truncorum
PoJ169	O.rufa
PoJ170	O.rufa
PoJ171	O.rufa
PoJ172	O.rufa
PoJ173	O.rufa
PoJ174	O.rufa
PoJ175	O.rufa
PoJ176	O.rufa
PoJ177	O.rufa
PoJ178	O.rufa
PoJ179	O.rufa
PoJ180	O.rufa
PoJ181	O.rufa
PoJ182	O.rufa
PoJ183	O.rufa
PoJ184	O.rufa
PoJ185	O.rufa
PoJ186	O.rufa
PoJ187	O.rufa
PoJ188	O.rufa
PoJ189	O.rufa
PoJ190	O.rufa
PoJ191	O.rufa
PoJ192	O.rufa
PoJ193	H.truncorum
PoJ194	O.rufa
PoJ195	O.rufa
PoJ196	O.rufa
PoJ197	O.rufa
PoJ198	O.rufa
PoJ199	O.rufa
PoJ200	O.rufa
PoJ201	O.rufa
PoJ202	O.rufa
PoJ203	O.rufa
PoJ205	H.truncorum
PoJ206	O.rufa
PoJ207	O.rufa
PoJ208	O.rufa
PoJ209	O.rufa
PoJ210	O.rufa
PoJ211	O.rufa
PoJ212	O.rufa
PoJ213	O.rufa
PoJ214	H.truncorum
PoJ215	O.rufa
PoJ216	O.rufa
PoJ217	H.truncorum
PoJ218	H.truncorum
PoJ219	H.truncorum
PoJ220	H.truncorum
PoJ221	O.rufa
PoJ222	O.rufa
PoJ223	O.rufa
PoJ224	O.rufa
PoJ225	H.truncorum
PoJ226	H.truncorum
PoJ227	O.rufa
PoJ228	O.rufa
PoJ229	H.truncorum
PoJ230	H.truncorum
PoJ231	H.truncorum
PoJ232	H.truncorum
PoJ233	H.truncorum
PoJ234	H.truncorum
PoJ235	H.truncorum
PoJ236	H.truncorum
PoJ237	H.truncorum
PoJ238	H.truncorum
PoJ239	H.truncorum
PoJ240	H.truncorum
PoJ242	H.truncorum
PoJ243	H.truncorum
PoJ244	H.truncorum
PoJ245	H.truncorum
PoJ246	H.truncorum
PoJ247	H.truncorum
PoJ248	O.rufa
PoJ249	O.rufa
PoJ250	O.rufa
PoJ251	O.rufa
PoJ252	O.rufa
PoJ253	O.rufa
PoJ254	O.rufa
PoJ255	O.rufa
PoJ256	O.rufa
PoJ257	O.rufa
PoJ258	O.rufa
PoJ259	O.rufa
PoJ260	O.rufa
PoJ261	O.rufa
PoJ262	O.rufa
PoJ263	O.rufa
PoJ264	O.rufa
PoJ265	O.rufa
PoJ266	O.rufa
PoJ268	O.rufa
PoJ269	O.rufa
PoJ271	O.rufa
PoJ272	O.rufa
PoJ273	O.rufa
PoJ274	O.rufa
PoJ275	O.rufa
PoJ276	O.rufa
PoJ277	O.rufa
PoJ278	O.rufa
PoJ279	O.rufa
PoJ280	O.rufa
PoJ281	O.rufa
PoJ282	O.rufa
PoJ283	O.rufa
PoJ284	O.rufa
PoJ285	O.rufa
PoJ286	O.rufa
PoJ287	O.rufa
PoJ288	O.rufa
PoJ382	O.rufa
PoJ289	O.rufa
PoJ383	O.rufa
PoJ14	O.rufa
PoJ296	O.rufa
PoJ297	O.rufa
PoJ298	O.rufa
PoJ299	O.rufa
PoJ300	O.rufa
PoJ303	O.rufa
PoJ302	O.rufa
PoJ301	O.rufa
PoJ304	O.rufa
PoJ305	O.rufa
PoJ294	O.rufa
PoJ307	O.rufa
PoJ290	O.rufa
PoJ308	O.rufa
PoJ291	O.rufa
PoJ309	O.rufa
PoJ310	O.rufa
PoJ292	O.rufa
PoJ311	O.rufa
PoJ293	O.rufa
PoJ312	O.rufa
PoJ313	O.rufa
