
code	|	name	|	preferred name	|	taxid
1	|	Abies	|	 	|	3319
1	|	Acer	|	 	|	4022
2	|	Aceras	|	Orchis	|	59331
1	|	Achillea	|	 	|	13328
3	|	Acinos	|	 	|	 
1	|	Aconitum	|	 	|	49188
1	|	Acorus	|	 	|	4464
1+	|	Actaea	|	 	|	46988
1+	|	Actaea	|	 	|	689456
1	|	Adenophora	|	 	|	82270
1	|	Adenostyles	|	 	|	217499
1	|	Adonis	|	 	|	46984
1	|	Adoxa	|	 	|	4207
1	|	Aegopodium	|	 	|	40898
1	|	Aesculus	|	 	|	43363
1	|	Aethionema	|	 	|	72656
1	|	Aethusa	|	 	|	40953
1	|	Agrimonia	|	 	|	23137
1	|	Agrostemma	|	 	|	39847
1	|	Agrostis	|	 	|	15297
1	|	Ailanthus	|	 	|	23809
1	|	Aira	|	 	|	281065
1	|	Ajuga	|	 	|	38595
1	|	Alchemilla	|	 	|	23138
1	|	Aldrovanda	|	 	|	173385
1	|	Alliaria	|	 	|	126269
1	|	Allium	|	 	|	4678
1	|	Alnus	|	 	|	3515
1	|	Alopecurus	|	 	|	15303
1	|	Althaea	|	 	|	145744
1	|	Alyssum	|	 	|	169067
1	|	Amaranthus	|	 	|	3564
1	|	Ambrosia	|	 	|	4211
1	|	Amelanchier	|	 	|	23139
1	|	Ammi	|	 	|	48025
1	|	Anacamptis	|	 	|	59315
1	|	Anagallis	|	 	|	4336
1	|	Anaphalis	|	 	|	49044
1	|	Anarrhinum	|	 	|	105585
1	|	Anchusa	|	 	|	89629
1	|	Andromeda	|	 	|	95629
1	|	Androsace	|	 	|	85163
1	|	Anemone	|	 	|	22868
1	|	Anethum	|	 	|	40921
1	|	Angelica	|	 	|	40948
1+	|	Antennaria	|	 	|	41475
1+	|	Antennaria	|	 	|	293542
1	|	Anthemis	|	 	|	99027
1	|	Anthericum	|	 	|	51433
1	|	Anthoxanthum	|	 	|	15324
1	|	Anthriscus	|	 	|	40886
1	|	Anthyllis	|	 	|	118889
1	|	Antirrhinum	|	 	|	4150
1	|	Apera	|	 	|	325524
1	|	Aphanes	|	 	|	57944
1	|	Apium	|	 	|	4044
1	|	Aposeris	|	 	|	379614
1	|	Aquilegia	|	 	|	3450
1	|	Arabidopsis	|	 	|	3701
1	|	Arabis	|	 	|	50451
1	|	Arctium	|	 	|	4216
1	|	Arctostaphylos	|	 	|	83607
1	|	Aremonia	|	 	|	57913
1+	|	Arenaria	|	 	|	3577
1+	|	Arenaria	|	 	|	54972
1	|	Aristolochia	|	 	|	12947
1	|	Armeria	|	 	|	63086
1	|	Armoracia	|	 	|	3703
1	|	Arnica	|	 	|	4246
1	|	Arnoseris	|	 	|	122530
1	|	Arrhenatherum	|	 	|	52138
1	|	Artemisia	|	 	|	4219
1	|	Arum	|	 	|	4457
1	|	Aruncus	|	 	|	23143
1	|	Asarum	|	 	|	16728
1	|	Asparagus	|	 	|	4685
1	|	Asperugo	|	 	|	581243
1	|	Asperula	|	 	|	25003
1	|	Asplenium	|	 	|	32071
1	|	Aster	|	 	|	41479
1	|	Astragalus	|	 	|	20400
1	|	Astrantia	|	 	|	46373
1	|	Athamanta	|	 	|	109083
1	|	Athyrium	|	 	|	32109
1	|	Atriplex	|	 	|	3550
1	|	Atropa	|	 	|	24609
1	|	Aurinia	|	 	|	169390
1	|	Avena	|	 	|	4496
1	|	Ballota	|	 	|	155228
1	|	Barbarea	|	 	|	50457
1	|	Bartsia	|	 	|	46051
1+	|	Bassia	|	 	|	83153
1+	|	Bassia	|	 	|	645411
1	|	Bellis	|	 	|	41491
1	|	Berberis	|	 	|	22774
1	|	Berteroa	|	 	|	228873
1	|	Berula	|	 	|	54704
1	|	Betonica	|	 	|	694344
1	|	Betula	|	 	|	3504
1	|	Bidens	|	 	|	42336
1	|	Bifora	|	 	|	48029
1	|	Biscutella	|	 	|	264426
1	|	Bistorta	|	 	|	137670
1	|	Blechnum	|	 	|	29605
1	|	Blysmus	|	 	|	130936
1	|	Bothriochloa	|	 	|	79826
1	|	Botrychium	|	 	|	13829
1	|	Brachypodium	|	 	|	15367
1	|	Brassica	|	 	|	3705
1	|	Briza	|	 	|	15369
1	|	Bromus	|	 	|	4501
1	|	Bryonia	|	 	|	3651
1	|	Buddleja	|	 	|	26473
1	|	Bunias	|	 	|	358660
1	|	Bunium	|	 	|	109090
1	|	Buphthalmum	|	 	|	56522
1	|	Bupleurum	|	 	|	46366
1	|	Butomus	|	 	|	50235
1	|	Buxus	|	 	|	4001
1	|	Calamagrostis	|	 	|	15376
1	|	Caldesia	|	 	|	217072
1	|	Calendula	|	 	|	41495
1	|	Calepina	|	 	|	71282
1	|	Calla	|	 	|	45006
1	|	Callitriche	|	 	|	13380
1	|	Calluna	|	 	|	13384
1	|	Caltha	|	 	|	3448
1	|	Campanula	|	 	|	40568
1+	|	Capsella	|	 	|	3718
1+	|	Capsella	|	 	|	183499
1	|	Cardamine	|	 	|	50460
2	|	Cardaminopsis	|	Arabidopsis	|	3701
2	|	Cardaria	|	Lepidium	|	19205
1	|	Carduus	|	 	|	92905
1	|	Carex	|	 	|	13398
1	|	Carlina	|	 	|	41499
