
code	|	name	|	preferred name	|	taxid
1	|	Abies alba	|	 	|	45372
1	|	Abies concolor	|	 	|	97173
1	|	Abies grandis	|	 	|	46611
1	|	Abies koreana	|	 	|	97170
1	|	Abies nordmanniana	|	 	|	97177
1	|	Abies procera	|	 	|	97175
1	|	Abutilon theophrasti	|	 	|	3631
2	|	Aceras anthropophorum	|	Orchis anthropophora	|	59314
1	|	Acer campestre	|	 	|	66205
1	|	Acer cappadocicum	|	 	|	169053
1	|	Acer monspessulanum	|	 	|	168566
1	|	Acer negundo	|	 	|	4023
1	|	Acer opalus	|	 	|	168567
1	|	Acer platanoides	|	 	|	4025
1	|	Acer pseudoplatanus	|	 	|	4026
1	|	Acer rubrum	|	 	|	45314
1	|	Acer saccharinum	|	 	|	75745
1	|	Acer saccharum	|	 	|	4024
1	|	Acer tataricum	|	 	|	57650
1	|	Achillea atrata	|	 	|	282721
1	|	Achillea clavennae	|	 	|	282726
1	|	Achillea clusiana	|	 	|	282727
1	|	Achillea collina	|	 	|	282730
1	|	Achillea crithmifolia	|	 	|	282732
1	|	Achillea distans	|	 	|	282733
1	|	Achillea filipendulina	|	 	|	282736
1	|	Achillea macrophylla	|	 	|	282746
1	|	Achillea millefolium	|	 	|	13329
1	|	Achillea moschata	|	 	|	282750
1	|	Achillea nobilis	|	 	|	282753
1	|	Achillea pannonica	|	 	|	282756
1	|	Achillea pratensis	|	 	|	282759
1	|	Achillea ptarmica	|	 	|	133233
1	|	Achillea roseoalba	|	 	|	282763
1	|	Achillea setacea	|	 	|	282767
1	|	Aconitum degenii	|	 	|	721841
1	|	Aconitum lycoctonum	|	 	|	112589
1	|	Aconitum napellus	|	 	|	112591
3	|	Aconitum pilipes	|	 	|	 
1	|	Aconitum plicatum	|	 	|	1496660
3	|	Aconitum tauricum	|	 	|	 
1	|	Aconitum variegatum	|	 	|	112594
2	|	Aconogonon alpinum	|	Koenigia alpina	|	125586
2	|	Aconogonon polystachyum	|	Koenigia polystachya	|	467321
2	|	Aconogonon weyrichii	|	Persicaria weyrichii	|	130758
1	|	Acorus calamus	|	 	|	4465
1	|	Acorus gramineus	|	 	|	55184
1	|	Actaea spicata	|	 	|	64025
1	|	Actinidia deliciosa	|	 	|	3627
1	|	Adenophora liliifolia	|	 	|	361368
1	|	Adenostyles alliariae	|	 	|	1346275
1	|	Adenostyles alpina	|	 	|	462377
1	|	Adiantum capillus-veneris	|	 	|	13818
1	|	Adonis aestivalis	|	 	|	113211
1	|	Adonis annua	|	 	|	212759
3	|	Adonis flammea	|	 	|	 
1	|	Adonis vernalis	|	 	|	46985
1	|	Adoxa moschatellina	|	 	|	4208
1	|	Aegopodium podagraria	|	 	|	40902
1	|	Aesculus flava	|	 	|	322040
1	|	Aesculus hippocastanum	|	 	|	43364
1	|	Aesculus parviflora	|	 	|	322043
1	|	Aesculus pavia	|	 	|	43872
1	|	Aethionema saxatile	|	 	|	202778
1	|	Aethusa cynapium	|	 	|	40954
1	|	Agastache rugosa	|	 	|	39271
1	|	Ageratum houstonianum	|	 	|	55598
1	|	Agrimonia eupatoria	|	 	|	57912
1	|	Agrimonia procera	|	 	|	1155245
1	|	Agrimonia repens	|	 	|	1973284
1	|	Agropyron cristatum	|	 	|	4593
1	|	Agrostemma githago	|	 	|	39848
3	|	Agrostemma gracile	|	 	|	 
3	|	Agrostis agrostiflora	|	 	|	 
1	|	Agrostis alpina	|	 	|	1395541
1	|	Agrostis canina	|	 	|	218142
1	|	Agrostis capillaris	|	 	|	204232
1	|	Agrostis castellana	|	 	|	345914
1	|	Agrostis exarata	|	 	|	345915
1	|	Agrostis gigantea	|	 	|	345916
1	|	Agrostis hyemalis	|	 	|	481245
1	|	Agrostis rupestris	|	 	|	1395542
1	|	Agrostis scabra	|	 	|	345920
3	|	Agrostis schleicheri	|	 	|	 
1	|	Agrostis stolonifera	|	 	|	63632
1	|	Agrostis vinealis	|	 	|	247443
1	|	Ailanthus altissima	|	 	|	23810
1	|	Aira caryophyllea	|	 	|	336211
1	|	Aira elegantissima	|	 	|	1211427
1	|	Aira praecox	|	 	|	281066
1	|	Ajuga chamaepitys	|	 	|	49984
1	|	Ajuga genevensis	|	 	|	1532251
1	|	Ajuga pyramidalis	|	 	|	1532252
1	|	Ajuga reptans	|	 	|	38596
1	|	Albizia julibrissin	|	 	|	3813
3	|	Alcea biennis	|	 	|	 
1	|	Alcea rosea	|	 	|	65557
3	|	Alchemilla acutidens	|	 	|	 
3	|	Alchemilla aggregata	|	 	|	 
3	|	Alchemilla alpigena	|	 	|	 
1	|	Alchemilla alpina	|	 	|	57943
3	|	Alchemilla carniolica	|	 	|	 
1	|	Alchemilla colorata	|	 	|	478294
3	|	Alchemilla compta	|	 	|	 
1	|	Alchemilla conjuncta	|	 	|	1395544
3	|	Alchemilla connivens	|	 	|	 
1	|	Alchemilla coriacea	|	 	|	478296
1	|	Alchemilla crinita	|	 	|	478297
3	|	Alchemilla cuspidens	|	 	|	 
1	|	Alchemilla decumbens	|	 	|	478299
3	|	Alchemilla demissa	|	 	|	 
3	|	Alchemilla effusa	|	 	|	 
1	|	Alchemilla exigua	|	 	|	478305
1	|	Alchemilla fallax	|	 	|	478307
1	|	Alchemilla filicaulis	|	 	|	1155247
3	|	Alchemilla firma	|	 	|	 
1	|	Alchemilla fissa	|	 	|	478309
1	|	Alchemilla flabellata	|	 	|	478310
1	|	Alchemilla glabra	|	 	|	1155248
3	|	Alchemilla glabricaulis	|	 	|	 
1	|	Alchemilla glaucescens	|	 	|	667203
1	|	Alchemilla glomerulans	|	 	|	669616
3	|	Alchemilla grossidens	|	 	|	 
3	|	Alchemilla helvetica	|	 	|	 
3	|	Alchemilla heteropoda	|	 	|	 
3	|	Alchemilla hirtipes	|	 	|	 
3	|	Alchemilla hoppeana	|	 	|	 
3	|	Alchemilla impexa	|	 	|	 
1	|	Alchemilla incisa	|	 	|	478321
3	|	Alchemilla inconcinna	|	 	|	 
3	|	Alchemilla kerneri	|	 	|	 
3	|	Alchemilla lineata	|	 	|	 
3	|	Alchemilla longituba	|	 	|	 
3	|	Alchemilla lunaria	|	 	|	 
1	|	Alchemilla micans	|	 	|	1572673
1	|	Alchemilla mollis	|	 	|	32218
1	|	Alchemilla monticola	|	 	|	1532256
1	|	Alchemilla nitida	|	 	|	478330
3	|	Alchemilla obscura	|	 	|	 
3	|	Alchemilla obtusa	|	 	|	 
3	|	Alchemilla othmari	|	 	|	 
3	|	Alchemilla pallens	|	 	|	 
1	|	Alchemilla plicata	|	 	|	478334
3	|	Alchemilla propinqua	|	 	|	 
3	|	Alchemilla pyrenaica	|	 	|	 
3	|	Alchemilla racemulosa	|	 	|	 
3	|	Alchemilla reniformis	|	 	|	 
3	|	Alchemilla rubristipula	|	 	|	 
3	|	Alchemilla semisecta	|	 	|	 
3	|	Alchemilla sericoneura	|	 	|	 
3	|	Alchemilla sinuata	|	 	|	 
1	|	Alchemilla splendens	|	 	|	478341
3	|	Alchemilla straminea	|	 	|	 
3	|	Alchemilla strigosula	|	 	|	 
1	|	Alchemilla subcrenata	|	 	|	1844630
3	|	Alchemilla subglobosa	|	 	|	 
1	|	Alchemilla tenuis	|	 	|	478347
3	|	Alchemilla tirolensis	|	 	|	 
3	|	Alchemilla trunciloba	|	 	|	 
3	|	Alchemilla undulata	|	 	|	 
3	|	Alchemilla versipila	|	 	|	 
1	|	Alchemilla vulgaris	|	 	|	49855
1	|	Alchemilla xanthochlora	|	 	|	1155249
1	|	Aldrovanda vesiculosa	|	 	|	173386
1	|	Alisma gramineum	|	 	|	365729
1	|	Alisma lanceolatum	|	 	|	365730
1	|	Alisma plantago-aquatica	|	 	|	15000
