
code	|	name	|	preferred name	|	taxid
1	|	Abies alba Mill.	|	Abies alba	|	45372
3	|	Abies concolor (Gordon &amp; Glend.) Hildebr.	|	 	|	 
3	|	Abies grandis (D. Don) Lindl.	|	 	|	 
3	|	Abies koreana E. H. Wilson	|	 	|	 
1	|	Abies nordmanniana (Steven) Spach	|	Abies nordmanniana	|	97177
3	|	Abies procera Rehder	|	 	|	 
1	|	Abutilon theophrasti Medik.	|	Abutilon theophrasti	|	3631
1	|	Acer campestre L.	|	Acer campestre	|	66205
3	|	Acer campestre &times; lobelii	|	 	|	 
1	|	Acer cappadocicum Gled.	|	Acer cappadocicum	|	169053
1	|	Acer monspessulanum L.	|	Acer monspessulanum	|	168566
3	|	Acer monspessulanum L. subsp. monspessulanum	|	 	|	 
1	|	Acer negundo L.	|	Acer negundo	|	4023
1	|	Acer opalus Mill.	|	Acer opalus	|	168567
3	|	Acer opalus subsp. obtusatum (Willd.) Gams	|	 	|	 
1	|	Acer platanoides L.	|	Acer platanoides	|	4025
3	|	Acer platanoides 'Atropurpurea'	|	 	|	 
1	|	Acer pseudoplatanus L.	|	Acer pseudoplatanus	|	4026
3	|	Acer pseudoplatanus 'Atropurpureum'	|	 	|	 
1	|	Acer rubrum L.	|	Acer rubrum	|	45314
1	|	Acer saccharinum L.	|	Acer saccharinum	|	75745
3	|	Acer saccharinum 'Laciniatum'	|	 	|	 
1	|	Acer saccharum Marshall	|	Acer saccharum	|	4024
1	|	Acer tataricum L.	|	Acer tataricum	|	57650
1	|	Acer tataricum subsp. ginnala (Maxim.) Wesm.	|	Acer tataricum subsp. ginnala	|	57656
3	|	Acer tataricum L. subsp. tataricum	|	 	|	 
3	|	Aceras anthropophorum (L.) W. T. Aiton	|	 	|	 
1	|	Achillea atrata L.	|	Achillea atrata	|	282721
1	|	Achillea clavennae L.	|	Achillea clavennae	|	282726
1	|	Achillea clusiana Tausch	|	Achillea clusiana	|	282727
3	|	Achillea collina (Wirtg.) Heimerl	|	 	|	 
3	|	Achillea crithmifolia Waldst. &amp; Kit.	|	 	|	 
3	|	Achillea distans Waldst. &amp; Kit.	|	 	|	 
3	|	Achillea distans Waldst. &amp; Kit. subsp. distans	|	 	|	 
3	|	Achillea distans subsp. stricta (W. D. J. Koch) Schleich.	|	 	|	 
1	|	Achillea filipendulina Lam.	|	Achillea filipendulina	|	282736
1	|	Achillea macrophylla L.	|	Achillea macrophylla	|	282746
1	|	Achillea millefolium L.	|	Achillea millefolium	|	13329
3	|	Achillea millefolium L. subsp. millefolium	|	 	|	 
1	|	Achillea millefolium subsp. sudetica (Opiz) Oborny	|	Achillea millefolium subsp. sudetica	|	282748
3	|	Achillea moschata Wulfen	|	 	|	 
1	|	Achillea nobilis L.	|	Achillea nobilis	|	282753
3	|	Achillea nobilis subsp. neilreichii (A. Kern.) Velen.	|	 	|	 
3	|	Achillea nobilis L. subsp. nobilis	|	 	|	 
1	|	Achillea pannonica Scheele	|	Achillea pannonica	|	282756
3	|	Achillea pratensis Saukel &amp; R. L&auml;nger	|	 	|	 
1	|	Achillea ptarmica L.	|	Achillea ptarmica	|	133233
3	|	Achillea ptarmica cult.	|	 	|	 
1	|	Achillea roseoalba Ehrend.	|	Achillea roseoalba	|	282763
3	|	Achillea setacea Waldst. &amp; Kit.	|	 	|	 
3	|	Aconitum degenii G&aacute;yer	|	 	|	 
3	|	Aconitum degenii subsp. paniculatum (Arcang.) Mucher	|	 	|	 
3	|	Aconitum degenii subsp. paniculatum &times; subsp. rhaeticum	|	 	|	 
3	|	Aconitum degenii subsp. rhaeticum Starm&uuml;hler	|	 	|	 
3	|	Aconitum degenii &times; napellus	|	 	|	 
3	|	Aconitum degenii &times; pilipes	|	 	|	 
3	|	Aconitum degenii &times; variegatum	|	 	|	 
1	|	Aconitum lycoctonum L.	|	Aconitum lycoctonum	|	112589
3	|	Aconitum lycoctonum L. subsp. lycoctonum	|	 	|	 
3	|	Aconitum lycoctonum subsp. lycoctonum &times; subsp. vulparia	|	 	|	 
3	|	Aconitum lycoctonum subsp. vulparia (Rchb. ex Spreng.) Nyman	|	 	|	 
3	|	Aconitum napellus L. s. l.	|	 	|	 
3	|	Aconitum napellus subsp. formosum (Rchb.) G&aacute;yer	|	 	|	 
3	|	Aconitum napellus subsp. formosum &times; subsp. lobelii	|	 	|	 
3	|	Aconitum napellus subsp. formosum &times; subsp. napellus	|	 	|	 
3	|	Aconitum napellus subsp. lobelii Mucher	|	 	|	 
3	|	Aconitum napellus subsp. lobelii &times; plicatum	|	 	|	 
3	|	Aconitum napellus subsp. lobelii &times; subsp. napellus	|	 	|	 
3	|	Aconitum napellus subsp. lobelii &times; tauricum subsp. tauricum	|	 	|	 
3	|	Aconitum napellus subsp. lusitanicum Rouy	|	 	|	 
3	|	Aconitum napellus L. subsp. napellus	|	 	|	 
3	|	Aconitum napellus subsp. napellus &times; plicatum	|	 	|	 
3	|	Aconitum napellus subsp. napellus &times; tauricum subsp. tauricum	|	 	|	 
3	|	Aconitum napellus &times; pilipes	|	 	|	 
3	|	Aconitum napellus &times; plicatum	|	 	|	 
3	|	Aconitum napellus &times; tauricum	|	 	|	 
3	|	Aconitum napellus &times; variegatum	|	 	|	 
3	|	Aconitum pilipes (Rchb.) G&aacute;yer	|	 	|	 
3	|	Aconitum pilipes &times; tauricum	|	 	|	 
3	|	Aconitum pilipes &times; variegatum	|	 	|	 
3	|	Aconitum plicatum K&ouml;hler ex Rchb.	|	 	|	 
3	|	Aconitum plicatum &times; variegatum	|	 	|	 
3	|	Aconitum tauricum Wulfen	|	 	|	 
3	|	Aconitum tauricum Wulfen subsp. tauricum	|	 	|	 
3	|	Aconitum tauricum &times; variegatum	|	 	|	 
1	|	Aconitum variegatum L.	|	Aconitum variegatum	|	112594
