
code	|	name	|	preferred name	|	taxid
1	|	Abies	|	 	|	3319
1+	|	Abietinella	|	 	|	61533
1+	|	Abietinella	|	 	|	655744
1+	|	Abronia	|	 	|	76641
1+	|	Abronia	|	 	|	76710
1	|	Abutilon	|	 	|	3630
1	|	Acer	|	 	|	4022
1	|	Achillea	|	 	|	13328
1	|	Achnatherum	|	 	|	37868
1	|	Acmispon	|	 	|	390699
1	|	Aconitum	|	 	|	49188
1	|	Aconogonon	|	 	|	106214
1	|	Acorus	|	 	|	4464
1+	|	Actaea	|	 	|	46988
1+	|	Actaea	|	 	|	689456
1	|	Actinastrum	|	 	|	55401
1	|	Adenocaulon	|	 	|	41467
1	|	Adiantum	|	 	|	13817
1	|	Adonis	|	 	|	46984
1	|	Aegilops	|	 	|	4480
1	|	Aegopodium	|	 	|	40898
1	|	Aesculus	|	 	|	43363
1	|	Aethusa	|	 	|	40953
1	|	Agastache	|	 	|	39130
1	|	Agathosma	|	 	|	378919
1	|	Ageratina	|	 	|	102749
1	|	Agoseris	|	 	|	19016
3	|	Agrestia	|	 	|	 
1	|	Agropyron	|	 	|	4592
1	|	Agrostemma	|	 	|	39847
1	|	Agrostis	|	 	|	15297
1	|	Ailanthus	|	 	|	23809
1	|	Aira	|	 	|	281065
1	|	Alcea	|	 	|	65556
1	|	Alhagi	|	 	|	47036
1	|	Aliciella	|	 	|	73235
1	|	Alisma	|	 	|	14999
1	|	Allenrolfea	|	 	|	224138
1	|	Allium	|	 	|	4678
1+	|	Allotropa	|	 	|	162231
1+	|	Allotropa	|	 	|	162313
1	|	Alnus	|	 	|	3515
1	|	Aloina	|	 	|	200689
1	|	Alopecurus	|	 	|	15303
1	|	Alyssum	|	 	|	169067
1	|	Amaranthus	|	 	|	3564
1	|	Amblystegium	|	 	|	99399
1	|	Ambrosia	|	 	|	4211
1	|	Amelanchier	|	 	|	23139
3	|	Amelasorbus	|	 	|	 
1+	|	Amorpha	|	 	|	48130
1+	|	Amorpha	|	 	|	522886
1	|	Ampelopsis	|	 	|	125007
1	|	Amphidium	|	 	|	61521
1	|	Amsinckia	|	 	|	255583
1	|	Anacolia	|	 	|	188168
1	|	Anagallis	|	 	|	4336
1	|	Anaphalis	|	 	|	49044
1	|	Anastrophyllum	|	 	|	248320
1	|	Anchusa	|	 	|	89629
3	|	Ancistrocarphus	|	 	|	 
1	|	Andromeda	|	 	|	95629
1	|	Androsace	|	 	|	85163
1	|	Anelsonia	|	 	|	359813
1	|	Anemone	|	 	|	22868
1	|	Angelica	|	 	|	40948
1	|	Ankistrodesmus	|	 	|	3108
1+	|	Antennaria	|	 	|	41475
1+	|	Antennaria	|	 	|	293542
1	|	Anthemis	|	 	|	99027
1	|	Anthoceros	|	 	|	3233
1	|	Anthoxanthum	|	 	|	15324
1	|	Anthriscus	|	 	|	40886
1+	|	Anticlea	|	 	|	208974
1+	|	Anticlea	|	 	|	689152
1	|	Antitrichia	|	 	|	84254
1	|	Apera	|	 	|	325524
1	|	Apium	|	 	|	4044
1	|	Apocynum	|	 	|	13338
1	|	Aquilegia	|	 	|	3450
1	|	Arabidopsis	|	 	|	3701
1	|	Arabis	|	 	|	50451
1	|	Aralia	|	 	|	13340
1	|	Arceuthobium	|	 	|	27219
1	|	Arctium	|	 	|	4216
1	|	Arctostaphylos	|	 	|	83607
1+	|	Arenaria	|	 	|	3577
1+	|	Arenaria	|	 	|	54972
1	|	Argemone	|	 	|	54795
1	|	Aristida	|	 	|	38709
1	|	Arnica	|	 	|	4246
1	|	Arrhenatherum	|	 	|	52138
1	|	Artemisia	|	 	|	4219
1	|	Asarum	|	 	|	16728
1	|	Asclepias	|	 	|	21199
1	|	Asparagus	|	 	|	4685
1	|	Asperugo	|	 	|	581243
1	|	Aspidotis	|	 	|	331974
1	|	Asplenium	|	 	|	32071
1	|	Aster	|	 	|	41479
1	|	Asterella	|	 	|	56913
1	|	Astragalus	|	 	|	20400
1	|	Athalamia	|	 	|	122614
1	|	Athyrium	|	 	|	32109
1+	|	Athysanus	|	 	|	457779
1+	|	Athysanus	|	 	|	565968
1	|	Atrichum	|	 	|	37309
1	|	Atriplex	|	 	|	3550
1	|	Aulacomnium	|	 	|	67246
1	|	Avena	|	 	|	4496
1	|	Azolla	|	 	|	39630
1	|	Bacopa	|	 	|	90645
1	|	Ballota	|	 	|	155228
1	|	Balsamorhiza	|	 	|	121882
1	|	Barbarea	|	 	|	50457
1	|	Barbilophozia	|	 	|	209797
1	|	Barbula	|	 	|	96464
1+	|	Bartramia	|	 	|	52975
1+	|	Bartramia	|	 	|	279932
1+	|	Bassia	|	 	|	83153
1+	|	Bassia	|	 	|	645411
1	|	Beckmannia	|	 	|	100788
1	|	Bellis	|	 	|	41491
1	|	Berberis	|	 	|	22774
1	|	Berteroa	|	 	|	228873
1	|	Berula	|	 	|	54704
1	|	Betula	|	 	|	3504
1	|	Bidens	|	 	|	42336
1	|	Bistorta	|	 	|	137670
1	|	Blasia	|	 	|	122624
1	|	Blechnum	|	 	|	29605
1	|	Blepharidachne	|	 	|	433845
1	|	Blepharipappus	|	 	|	149415
1	|	Blepharostoma	|	 	|	70213
1	|	Blindia	|	 	|	67424
1	|	Boechera	|	 	|	76872
1	|	Bolandra	|	 	|	23239
1	|	Bolboschoenus	|	 	|	76416
1	|	Botrychium	|	 	|	13829
1	|	Bouteloua	|	 	|	48731
1	|	Boykinia	|	 	|	23240
1	|	Brachythecium	|	 	|	53004
1	|	Brasenia	|	 	|	4423
1	|	Brassica	|	 	|	3705
1	|	Brickellia	|	 	|	102753
1	|	Briza	|	 	|	15369
1	|	Bromus	|	 	|	4501
1	|	Bryoerythrophyllum	|	 	|	200697
1	|	Bryonia	|	 	|	3651
1	|	Bryum	|	 	|	37412
1	|	Buglossoides	|	 	|	181180
1	|	Bupleurum	|	 	|	46366
1	|	Butomus	|	 	|	50235
1	|	Buxbaumia	|	 	|	70127
1	|	Calamagrostis	|	 	|	15376
1	|	Calandrinia	|	 	|	46143
1	|	Calliergon	|	 	|	139997
1	|	Calliergonella	|	 	|	52998
1	|	Callitriche	|	 	|	13380
1	|	Calochortus	|	 	|	59059
1	|	Caltha	|	 	|	3448
1	|	Calypogeia	|	 	|	41851
1	|	Calypso	|	 	|	78713
1	|	Calystegia	|	 	|	47518
1	|	Camassia	|	 	|	39523
1	|	Camelina	|	 	|	71323
1	|	Camissonia	|	 	|	203939
1	|	Campanula	|	 	|	40568
1	|	Campylium	|	 	|	94481
1	|	Canadanthus	|	 	|	300136
1	|	Cannabis	|	 	|	3482
1+	|	Capsella	|	 	|	3718
1+	|	Capsella	|	 	|	183499
1	|	Caragana	|	 	|	20483
1	|	Cardamine	|	 	|	50460
1	|	Carduus	|	 	|	92905
1	|	Carex	|	 	|	13398
1	|	Carthamus	|	 	|	4221
1	|	Carum	|	 	|	48031
1	|	Cassiope	|	 	|	13404
1	|	Castilleja	|	 	|	46036
1	|	Catabrosa	|	 	|	368337
1	|	Catalpa	|	 	|	13406
1	|	Caulanthus	|	 	|	154095
1	|	Ceanothus	|	 	|	22922
1	|	Celtis	|	 	|	13408
1	|	Cenchrus	|	 	|	4583
1	|	Centaurea	|	 	|	41503
1	|	Centaurium	|	 	|	50750
1	|	Cephalanthera	|	 	|	78718
1	|	Cephalozia	|	 	|	70211
1	|	Cephaloziella	|	 	|	280806
1	|	Cerastium	|	 	|	3579
1	|	Ceratodon	|	 	|	3224
1	|	Ceratophyllum	|	 	|	4427
1	|	Cercis	|	 	|	49800
1	|	Cercocarpus	|	 	|	23146
1	|	Chaenactis	|	 	|	176520
1	|	Chaenorhinum	|	 	|	105912
1	|	Chamaebatiaria	|	 	|	23149
1	|	Chamerion	|	 	|	238243
1	|	Characium	|	 	|	3091
1	|	Cheilanthes	|	 	|	37456
1	|	Chenopodium	|	 	|	3558
1	|	Chiloscyphus	|	 	|	70556
1	|	Chimaphila	|	 	|	93812
1	|	Chionophila	|	 	|	48920
1+	|	Chondrilla	|	 	|	75962
1+	|	Chondrilla	|	 	|	220713
1	|	Chorispora	|	 	|	238894
1	|	Chorizanthe	|	 	|	429184
1	|	Chrysosplenium	|	 	|	23242
1	|	Chrysothamnus	|	 	|	71038
1	|	Chylismia	|	 	|	690524
1	|	Chylismiella	|	 	|	1402223
1	|	Cicer	|	 	|	3826
1	|	Cichorium	|	 	|	13426
1	|	Cicuta	|	 	|	48035
1	|	Cinna	|	 	|	15410
1	|	Circaea	|	 	|	13010
1	|	Cirsium	|	 	|	41549
1	|	Cistanthe	|	 	|	89073
1	|	Cladophora	|	 	|	34125
1	|	Claopodium	|	 	|	169504
1	|	Clarkia	|	 	|	3935
1	|	Claytonia	|	 	|	46145
1	|	Clematis	|	 	|	3452
1	|	Cleomella	|	 	|	202657
1	|	Climacium	|	 	|	70130
1	|	Clinopodium	|	 	|	182371
1	|	Clintonia	|	 	|	16047
1	|	Closterium	|	 	|	34145
1	|	Coelastrum	|	 	|	55408
1+	|	Collinsia	|	 	|	68861
1+	|	Collinsia	|	 	|	933046
1	|	Collomia	|	 	|	40760
1	|	Comandra	|	 	|	50118
1	|	Comarum	|	 	|	395100
1	|	Conardia	|	 	|	140385
1	|	Conimitella	|	 	|	40785
1	|	Conium	|	 	|	13446
1	|	Conocephalum	|	 	|	41838
1	|	Conringia	|	 	|	228875
1	|	Consolida	|	 	|	37493
1	|	Convolvulus	|	 	|	4122
1	|	Conyza	|	 	|	41552
1	|	Coptis	|	 	|	3441
1	|	Corallorhiza	|	 	|	48525
1	|	Cordylanthus	|	 	|	90353
1	|	Coreopsis	|	 	|	13448
1	|	Corispermum	|	 	|	240052
1	|	Cornus	|	 	|	4281
1	|	Corydalis	|	 	|	3463
1	|	Corylus	|	 	|	13450
1	|	Coscinodon	|	 	|	226480
1	|	Cosmarium	|	 	|	33100
1+	|	Cota	|	 	|	282214
1+	|	Cota	|	 	|	323394
1	|	Cotoneaster	|	 	|	36607
1	|	Crataegus	|	 	|	23159
1	|	Cratoneuron	|	 	|	69982
1	|	Crepis	|	 	|	13464
1	|	Cressa	|	 	|	197371
1	|	Crossidium	|	 	|	200699
1	|	Croton	|	 	|	100370
1	|	Crucianella	|	 	|	25103
