Fips	SpecState	Spec2011	Spec2014	GenusState	Genus2011	Genus2014
01	3241	1572	2410	1308	871	1087
02	2418	1012	1638	893	514	659
04	3920	1859	2942	1456	976	1223
05	2589	1301	1957	1128	778	956
06	7797	3581	5789	2375	1450	1909
08	3544	1739	2714	1225	833	1040
09	3578	1855	2714	1469	1004	1223
10	1733	875	1305	828	577	705
11	2173	1199	1719	955	694	828
12	4156	1823	2913	1903	1127	1478
13	3188	1527	2342	1324	865	1083
15	2799	1166	1862	1443	856	1088
16	3025	1491	2347	1054	725	907
17	3002	1589	2290	1217	843	1044
18	2407	1241	1832	987	685	846
19	1786	960	1384	824	575	708
20	2762	1465	2133	1188	836	1022
21	2610	1345	1968	1066	737	907
22	2912	1413	2181	1258	850	1059
23	2459	1263	1876	1003	680	846
24	2863	1481	2180	1214	853	1046
25	3251	1656	2461	1313	862	1073
26	2918	1514	2243	1142	775	970
27	2384	1219	1789	978	678	838
28	2653	1309	2003	1124	770	950
29	3786	1954	2834	1632	1099	1360
30	2807	1372	2149	1016	699	873
31	1854	1002	1452	848	598	726
32	3347	1613	2617	1135	757	970
33	2156	1135	1649	923	636	787
34	2978	1520	2258	1192	813	1012
35	3664	1797	2803	1297	911	1124
36	3920	1979	2988	1485	984	1239
37	3552	1744	2636	1404	930	1157
38	1431	779	1122	677	503	591
39	2874	1522	2204	1186	819	1017
40	2079	1068	1581	986	694	841
41	4495	2141	3383	1473	949	1206
42	3364	1730	2572	1329	903	1132
44	1776	961	1356	821	566	679
45	2628	1300	1977	1156	784	974
46	1862	978	1445	805	595	700
47	3058	1510	2277	1267	837	1051
48	4439	2028	3221	1685	1084	1388
49	3272	1688	2586	1142	804	993
50	2201	1183	1703	931	654	802
51	3373	1686	2529	1353	910	1126
53	4519	2174	3377	1626	1033	1306
54	2406	1270	1838	1028	717	873
55	2627	1394	2035	1047	731	907
56	2611	1305	2041	956	663	817
