study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy
PRJEB8640	ERP009661	SAMEA3267877	ERS663854	ERX711456	ERR768183	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768183/ERR768183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768183/ERR768183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768183/ERR768183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768183/ERR768183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ100_S196_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ100_S196_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ100_S196_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ100_S196_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267878	ERS663855	ERX711457	ERR768184	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768184/ERR768184_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768184/ERR768184_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768184/ERR768184_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768184/ERR768184_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ101_S197_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ101_S197_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ101_S197_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ101_S197_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267879	ERS663856	ERX711458	ERR768185	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768185/ERR768185_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768185/ERR768185_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768185/ERR768185_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768185/ERR768185_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ102_S198_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ102_S198_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ102_S198_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ102_S198_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267880	ERS663857	ERX711459	ERR768186	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768186/ERR768186_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768186/ERR768186_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768186/ERR768186_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768186/ERR768186_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ103_S199_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ103_S199_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ103_S199_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ103_S199_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267881	ERS663858	ERX711460	ERR768187	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768187/ERR768187_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768187/ERR768187_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768187/ERR768187_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768187/ERR768187_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ104_S200_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ104_S200_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ104_S200_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ104_S200_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267882	ERS663859	ERX711461	ERR768188	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768188/ERR768188_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768188/ERR768188_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768188/ERR768188_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768188/ERR768188_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ105_S201_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ105_S201_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ105_S201_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ105_S201_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267883	ERS663860	ERX711462	ERR768189	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768189/ERR768189_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768189/ERR768189_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768189/ERR768189_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768189/ERR768189_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ106_S202_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ106_S202_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ106_S202_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ106_S202_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267884	ERS663861	ERX711463	ERR768190	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768190/ERR768190_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768190/ERR768190_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768190/ERR768190_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768190/ERR768190_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ107_S203_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ107_S203_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ107_S203_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ107_S203_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267885	ERS663862	ERX711464	ERR768191	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768191/ERR768191_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768191/ERR768191_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768191/ERR768191_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768191/ERR768191_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ108_S204_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ108_S204_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ108_S204_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ108_S204_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267886	ERS663863	ERX711465	ERR768192	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768192/ERR768192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768192/ERR768192_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768192/ERR768192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768192/ERR768192_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ109_S205_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ109_S205_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ109_S205_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ109_S205_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267800	ERS663777	ERX711466	ERR768193	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768193/ERR768193_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768193/ERR768193_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768193/ERR768193_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768193/ERR768193_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ10_S10_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ10_S10_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ10_S10_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ10_S10_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267887	ERS663864	ERX711467	ERR768194	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768194/ERR768194_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768194/ERR768194_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768194/ERR768194_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768194/ERR768194_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ110_S206_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ110_S206_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ110_S206_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ110_S206_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267888	ERS663865	ERX711468	ERR768195	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768195/ERR768195_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768195/ERR768195_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768195/ERR768195_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768195/ERR768195_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ111_S207_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ111_S207_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ111_S207_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ111_S207_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267889	ERS663866	ERX711469	ERR768196	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768196/ERR768196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768196/ERR768196_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768196/ERR768196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768196/ERR768196_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ112_S208_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ112_S208_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ112_S208_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ112_S208_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267890	ERS663867	ERX711470	ERR768197	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768197/ERR768197_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768197/ERR768197_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768197/ERR768197_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768197/ERR768197_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ113_S209_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ113_S209_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ113_S209_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ113_S209_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267891	ERS663868	ERX711471	ERR768198	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768198/ERR768198_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768198/ERR768198_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768198/ERR768198_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768198/ERR768198_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ114_S210_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ114_S210_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ114_S210_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ114_S210_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267892	ERS663869	ERX711472	ERR768199	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768199/ERR768199_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768199/ERR768199_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768199/ERR768199_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768199/ERR768199_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ115_S211_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ115_S211_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ115_S211_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ115_S211_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267893	ERS663870	ERX711473	ERR768200	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768200/ERR768200_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768200/ERR768200_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768200/ERR768200_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768200/ERR768200_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ116_S212_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ116_S212_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ116_S212_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ116_S212_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267894	ERS663871	ERX711474	ERR768201	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768201/ERR768201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768201/ERR768201_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768201/ERR768201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768201/ERR768201_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ117_S213_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ117_S213_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ117_S213_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ117_S213_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267895	ERS663872	ERX711475	ERR768202	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768202/ERR768202_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768202/ERR768202_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768202/ERR768202_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768202/ERR768202_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ118_S214_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ118_S214_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ118_S214_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ118_S214_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267896	ERS663873	ERX711476	ERR768203	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768203/ERR768203_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768203/ERR768203_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768203/ERR768203_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768203/ERR768203_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ119_S215_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ119_S215_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ119_S215_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ119_S215_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3268156	ERS664133	ERX711477	ERR768204	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768204/ERR768204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768204/ERR768204_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768204/ERR768204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768204/ERR768204_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ11_S11_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ11_S11_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ11_S11_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ11_S11_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267897	ERS663874	ERX711478	ERR768205	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768205/ERR768205_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768205/ERR768205_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768205/ERR768205_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768205/ERR768205_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ120_S216_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ120_S216_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ120_S216_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ120_S216_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267898	ERS663875	ERX711479	ERR768206	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768206/ERR768206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768206/ERR768206_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768206/ERR768206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768206/ERR768206_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ121_S217_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ121_S217_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ121_S217_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ121_S217_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267899	ERS663876	ERX711480	ERR768207	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768207/ERR768207_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768207/ERR768207_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768207/ERR768207_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768207/ERR768207_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ122_S218_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ122_S218_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ122_S218_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ122_S218_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267900	ERS663877	ERX711481	ERR768208	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768208/ERR768208_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768208/ERR768208_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768208/ERR768208_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768208/ERR768208_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ123_S219_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ123_S219_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ123_S219_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ123_S219_L001_R2_001.fastq.gz
